Student ID,Report Class Code,Item Code,EnteredText
140020,11 Maths General,Subject grade,B
140020,11 Maths General,Subject grade 2,C
140020,11 Maths General,Subject grade 3,B
140020,11 Metalwork,Subject grade,B
140020,11 Metalwork,Subject grade 2,NA
140020,11 Metalwork,Subject grade 3,B
140020,11 Music B,Subject grade,C+
140020,11 Music B,Subject grade 2,B
140020,11 Music B,Subject grade 3,C+
140022,11 Biology,Subject grade,B
140022,11 Biology,Subject grade 2,B
140022,11 Biology,Subject grade 3,B
140022,11 Chemistry,Subject grade,C
140022,11 Chemistry,Subject grade 2,E
140022,11 Chemistry,Subject grade 3,C+
140022,11 English Studies,Subject grade,C+
140022,11 English Studies,Subject grade 2,B
140022,11 English Studies,Subject grade 3,C+
140022,11 History,Subject grade,C+
140022,11 History,Subject grade 2,C
140022,11 History,Subject grade 3,B
140022,11 Hospitality,Subject grade,B
140022,11 Hospitality,Subject grade 2,NA
140022,11 Hospitality,Subject grade 3,B
140022,11 Maths General,Subject grade,B
140022,11 Maths General,Subject grade 2,B
140022,11 Maths General,Subject grade 3,B
140023,11 Biology,Subject grade,A
140023,11 Biology,Subject grade 2,A
140023,11 Biology,Subject grade 3,A
140023,11 Chemistry,Subject grade,A
140023,11 Chemistry,Subject grade 2,B
140023,11 Chemistry,Subject grade 3,B
140023,11 Energy Tech,Subject grade,A
140023,11 Energy Tech,Subject grade 2,NA
140023,11 Energy Tech,Subject grade 3,A
140023,11 English,Subject grade,A
140023,11 English,Subject grade 2,NA
140023,11 English,Subject grade 3,A
140023,11 Legal Studies,Subject grade,A
140023,11 Legal Studies,Subject grade 2,B
140023,11 Legal Studies,Subject grade 3,A
140023,11 Maths Studies 3,Subject grade,B
140023,11 Maths Studies 3,Subject grade 2,C+
140023,11 Maths Studies 3,Subject grade 3,B
140024,11 Biology,Subject grade,B
140024,11 Biology,Subject grade 2,C
140024,11 Biology,Subject grade 3,B
140024,11 Chemistry,Subject grade,B
140024,11 Chemistry,Subject grade 2,B
140024,11 Chemistry,Subject grade 3,B
140024,11 English,Subject grade,B
140024,11 English,Subject grade 2,NA
140024,11 English,Subject grade 3,B
140024,11 Maths Studies 3,Subject grade,A
140024,11 Maths Studies 3,Subject grade 2,C+
140024,11 Maths Studies 3,Subject grade 3,B
140024,11 Maths Studies 4,Subject grade,B
140024,11 Maths Studies 4,Subject grade 2,C
140024,11 Maths Studies 4,Subject grade 3,B
140024,11 Physics,Subject grade,B
140024,11 Physics,Subject grade 2,D
140024,11 Physics,Subject grade 3,B
140025,11 Art,Subject grade,B
140025,11 Art,Subject grade 2,NA
140025,11 Art,Subject grade 3,B
140025,11 Biology,Subject grade,B
140025,11 Biology,Subject grade 2,B
140025,11 Biology,Subject grade 3,B
140025,11 Chemistry,Subject grade,B
140025,11 Chemistry,Subject grade 2,C+
140025,11 Chemistry,Subject grade 3,B
140025,11 English Studies,Subject grade,B
140025,11 English Studies,Subject grade 2,B
140025,11 English Studies,Subject grade 3,B
140025,11 Maths Studies 3,Subject grade,B
140025,11 Maths Studies 3,Subject grade 2,C+
140025,11 Maths Studies 3,Subject grade 3,B
140025,11 Physics,Subject grade,A
140025,11 Physics,Subject grade 2,C
140025,11 Physics,Subject grade 3,A
140027,11 Biology,Subject grade,B
140027,11 Biology,Subject grade 2,B
140027,11 Biology,Subject grade 3,B
140027,11 Chemistry,Subject grade,B
140027,11 Chemistry,Subject grade 2,C
140027,11 Chemistry,Subject grade 3,C+
140027,11 English,Subject grade,B
140027,11 English,Subject grade 2,NA
140027,11 English,Subject grade 3,B
140027,11 Maths Studies 3,Subject grade,B
140027,11 Maths Studies 3,Subject grade 2,A
140027,11 Maths Studies 3,Subject grade 3,B
140027,11 Maths Studies 4,Subject grade,B
140027,11 Maths Studies 4,Subject grade 2,C
140027,11 Maths Studies 4,Subject grade 3,B
140027,11 Physics,Subject grade,B
140027,11 Physics,Subject grade 2,C
140027,11 Physics,Subject grade 3,B
140028,11 Biology,Subject grade,C+
140028,11 Biology,Subject grade 2,C+
140028,11 Biology,Subject grade 3,C+
140028,11 English Studies,Subject grade,B
140028,11 English Studies,Subject grade 2,B
140028,11 English Studies,Subject grade 3,B
140028,11 Geography,Subject grade,C
140028,11 Geography,Subject grade 2,B
140028,11 Geography,Subject grade 3,C
140028,11 History,Subject grade,B
140028,11 History,Subject grade 2,C
140028,11 History,Subject grade 3,B
140028,11 Maths General,Subject grade,B
140028,11 Maths General,Subject grade 2,C+
140028,11 Maths General,Subject grade 3,B
140028,11 Woodwork,Subject grade,A
140028,11 Woodwork,Subject grade 2,NA
140028,11 Woodwork,Subject grade 3,B
140030,11 English,Subject grade,B
140030,11 English,Subject grade 2,NA
140030,11 English,Subject grade 3,A
140030,11 Geography,Subject grade,D
140030,11 Geography,Subject grade 2,D
140030,11 Geography,Subject grade 3,D
140030,11 History,Subject grade,B
140030,11 History,Subject grade 2,B
140030,11 History,Subject grade 3,B
140030,11 Info Pro & Pub,Subject grade,C
140030,11 Info Pro & Pub,Subject grade 2,NA
140030,11 Info Pro & Pub,Subject grade 3,B
140030,11 Legal Studies,Subject grade,B
140030,11 Legal Studies,Subject grade 2,C+
140030,11 Legal Studies,Subject grade 3,A
140030,11 Maths General,Subject grade,B
140030,11 Maths General,Subject grade 2,B
140030,11 Maths General,Subject grade 3,B
140032,11 Biology,Subject grade,A
140032,11 Biology,Subject grade 2,B
140032,11 Biology,Subject grade 3,A
140032,11 Chemistry,Subject grade,C
140032,11 Chemistry,Subject grade 2,E
140032,11 Chemistry,Subject grade 3,C
140032,11 English,Subject grade,B
140032,11 English,Subject grade 2,NA
140032,11 English,Subject grade 3,B
140032,11 Hospitality,Subject grade,B
140032,11 Hospitality,Subject grade 2,NA
140032,11 Hospitality,Subject grade 3,B
140032,11 Maths General,Subject grade,B
140032,11 Maths General,Subject grade 2,C+
140032,11 Maths General,Subject grade 3,B
140032,11 Research Practices,Subject grade,A
140032,11 Research Practices,Subject grade 2,NA
140032,11 Research Practices,Subject grade 3,A
140033,11 Biology,Subject grade,B
140033,11 Biology,Subject grade 2,A
140033,11 Biology,Subject grade 3,B
140033,11 Chemistry,Subject grade,B
140033,11 Chemistry,Subject grade 2,D
140033,11 Chemistry,Subject grade 3,B
140033,11 English,Subject grade,B
140033,11 English,Subject grade 2,NA
140033,11 English,Subject grade 3,B
140033,11 Maths Studies 3,Subject grade,B
140033,11 Maths Studies 3,Subject grade 2,B
140033,11 Maths Studies 3,Subject grade 3,B
140033,11 Physical Education,Subject grade,A
140033,11 Physical Education,Subject grade 2,B
140033,11 Physical Education,Subject grade 3,A
140033,11 Physics,Subject grade,A
140033,11 Physics,Subject grade 2,C+
140033,11 Physics,Subject grade 3,A
140035,11 Design,Subject grade,A
140035,11 Design,Subject grade 2,NA
140035,11 Design,Subject grade 3,A
140035,11 English Studies,Subject grade,B
140035,11 English Studies,Subject grade 2,B
140035,11 English Studies,Subject grade 3,B
140035,11 Geography,Subject grade,B
140035,11 Geography,Subject grade 2,C
140035,11 Geography,Subject grade 3,C+
140035,11 Hospitality,Subject grade,B
140035,11 Hospitality,Subject grade 2,NA
140035,11 Hospitality,Subject grade 3,B
140035,11 Maths General,Subject grade,B
140035,11 Maths General,Subject grade 2,B
140035,11 Maths General,Subject grade 3,B
140035,11 Research Practices,Subject grade,A
140035,11 Research Practices,Subject grade 2,NA
140035,11 Research Practices,Subject grade 3,A
140036,11 Biology,Subject grade,C-
140036,11 Biology,Subject grade 2,D
140036,11 Biology,Subject grade 3,C
140036,11 English,Subject grade,B
140036,11 English,Subject grade 2,NA
140036,11 English,Subject grade 3,B
140036,11 Geography,Subject grade,D
140036,11 Geography,Subject grade 2,D
140036,11 Geography,Subject grade 3,D
140036,11 Legal Studies,Subject grade,C+
140036,11 Legal Studies,Subject grade 2,C-
140036,11 Legal Studies,Subject grade 3,B
140036,11 Maths General,Subject grade,C-
140036,11 Maths General,Subject grade 2,C-
140036,11 Maths General,Subject grade 3,C-
140036,11 Woodwork,Subject grade,B
140036,11 Woodwork,Subject grade 2,NA
140036,11 Woodwork,Subject grade 3,B
140037,11 Art,Subject grade,B
140037,11 Art,Subject grade 2,NA
140037,11 Art,Subject grade 3,B
140037,11 Biology,Subject grade,B
140037,11 Biology,Subject grade 2,B
140037,11 Biology,Subject grade 3,B
140037,11 English Studies,Subject grade,A
140037,11 English Studies,Subject grade 2,B
140037,11 English Studies,Subject grade 3,A
140037,11 History,Subject grade,B
140037,11 History,Subject grade 2,B
140037,11 History,Subject grade 3,B
140037,11 Maths General,Subject grade,A
140037,11 Maths General,Subject grade 2,B
140037,11 Maths General,Subject grade 3,A
140037,11 Physical Education,Subject grade,A
140037,11 Physical Education,Subject grade 2,A
140037,11 Physical Education,Subject grade 3,A
140039,11 Energy Tech,Subject grade,B
140039,11 Energy Tech,Subject grade 2,NA
140039,11 Energy Tech,Subject grade 3,B
140039,11 English Essentials,Subject grade,C+
140039,11 English Essentials,Subject grade 2,NA
140039,11 English Essentials,Subject grade 3,C+
140039,11 Maths General,Subject grade,C
140039,11 Maths General,Subject grade 2,D
140039,11 Maths General,Subject grade 3,C
140039,11 Outdoor Const,Subject grade,A
140039,11 Outdoor Const,Subject grade 2,NA
140039,11 Outdoor Const,Subject grade 3,A
140039,11 Research Practices,Subject grade,C+
140039,11 Research Practices,Subject grade 2,NA
140039,11 Research Practices,Subject grade 3,C+
140039,11 Woodwork,Subject grade,A
140039,11 Woodwork,Subject grade 2,NA
140039,11 Woodwork,Subject grade 3,A
140040,11 Art,Subject grade,B
140040,11 Art,Subject grade 2,NA
140040,11 Art,Subject grade 3,B
140040,11 Digital Photography,Subject grade,B
140040,11 Digital Photography,Subject grade 2,NA
140040,11 Digital Photography,Subject grade 3,B
140040,11 English,Subject grade,A
140040,11 English,Subject grade 2,NA
140040,11 English,Subject grade 3,A
140040,11 Hospitality,Subject grade,A
140040,11 Hospitality,Subject grade 2,NA
140040,11 Hospitality,Subject grade 3,A
140040,11 Maths General,Subject grade,C+
140040,11 Maths General,Subject grade 2,D
140040,11 Maths General,Subject grade 3,C
140040,11 Research Practices,Subject grade,A
140040,11 Research Practices,Subject grade 2,NA
140040,11 Research Practices,Subject grade 3,A
140041,11 Art,Subject grade,B
140041,11 Art,Subject grade 2,NA
140041,11 Art,Subject grade 3,B
140041,11 Design,Subject grade,B
140041,11 Design,Subject grade 2,NA
140041,11 Design,Subject grade 3,B
140041,11 English Studies,Subject grade,B
140041,11 English Studies,Subject grade 2,C+
140041,11 English Studies,Subject grade 3,B
140041,11 Hospitality,Subject grade,C+
140041,11 Hospitality,Subject grade 2,NA
140041,11 Hospitality,Subject grade 3,C+
140041,11 Legal Studies,Subject grade,C-
140041,11 Legal Studies,Subject grade 2,D
140041,11 Legal Studies,Subject grade 3,C
140041,11 Research Practices,Subject grade,B
140041,11 Research Practices,Subject grade 2,NA
140041,11 Research Practices,Subject grade 3,B
140046,11 Chemistry,Subject grade,B
140046,11 Chemistry,Subject grade 2,C
140046,11 Chemistry,Subject grade 3,B
140046,11 English,Subject grade,B
140046,11 English,Subject grade 2,NA
140046,11 English,Subject grade 3,B
140046,11 Maths Studies 3,Subject grade,B
140046,11 Maths Studies 3,Subject grade 2,B
140046,11 Maths Studies 3,Subject grade 3,B
140046,11 Maths Studies 4,Subject grade,B
140046,11 Maths Studies 4,Subject grade 2,C
140046,11 Maths Studies 4,Subject grade 3,C
140046,11 Physical Education,Subject grade,A
140046,11 Physical Education,Subject grade 2,A
140046,11 Physical Education,Subject grade 3,A
140046,11 Physics,Subject grade,B
140046,11 Physics,Subject grade 2,C
140046,11 Physics,Subject grade 3,B
140047,11 Biology,Subject grade,C-
140047,11 Biology,Subject grade 2,D
140047,11 Biology,Subject grade 3,C-
140047,11 English Studies,Subject grade,C
140047,11 English Studies,Subject grade 2,C
140047,11 English Studies,Subject grade 3,C
140047,11 Hospitality,Subject grade,B
140047,11 Hospitality,Subject grade 2,NA
140047,11 Hospitality,Subject grade 3,C+
140047,11 Maths General,Subject grade,C
140047,11 Maths General,Subject grade 2,E
140047,11 Maths General,Subject grade 3,C
140047,11 Nutrition,Subject grade,C
140047,11 Nutrition,Subject grade 2,NA
140047,11 Nutrition,Subject grade 3,C-
140047,11 Research Practices,Subject grade,C-
140047,11 Research Practices,Subject grade 2,NA
140047,11 Research Practices,Subject grade 3,C-
140048,11 Digital Photography,Subject grade,D
140048,11 Digital Photography,Subject grade 2,NA
140048,11 Digital Photography,Subject grade 3,E
140048,11 English Essentials,Subject grade,C
140048,11 English Essentials,Subject grade 2,NA
140048,11 English Essentials,Subject grade 3,C
140048,11 Hospitality,Subject grade,E
140048,11 Hospitality,Subject grade 2,NA
140048,11 Hospitality,Subject grade 3,E
140048,11 Maths Essentials,Subject grade,C-
140048,11 Maths Essentials,Subject grade 2,E
140048,11 Maths Essentials,Subject grade 3,C-
140048,11 Scientific St B,Subject grade,C-
140048,11 Scientific St B,Subject grade 2,NA
140048,11 Scientific St B,Subject grade 3,C
140048,11 Woodwork,Subject grade,C
140048,11 Woodwork,Subject grade 2,NA
140048,11 Woodwork,Subject grade 3,C
140049,11 Biology,Subject grade,C-
140049,11 Biology,Subject grade 2,C-
140049,11 Biology,Subject grade 3,C
140049,11 English Studies,Subject grade,B
140049,11 English Studies,Subject grade 2,C+
140049,11 English Studies,Subject grade 3,B
140049,11 Maths General,Subject grade,D
140049,11 Maths General,Subject grade 2,C-
140049,11 Maths General,Subject grade 3,D
140049,11 Nutrition,Subject grade,B
140049,11 Nutrition,Subject grade 2,NA
140049,11 Nutrition,Subject grade 3,B
140049,11 Physical Education,Subject grade,C+
140049,11 Physical Education,Subject grade 2,B
140049,11 Physical Education,Subject grade 3,C+
140051,11 Chemistry,Subject grade,A
140051,11 Chemistry,Subject grade 2,A
140051,11 Chemistry,Subject grade 3,A
140051,11 English Studies,Subject grade,B
140051,11 English Studies,Subject grade 2,B
140051,11 English Studies,Subject grade 3,B
140051,11 Maths Studies 3,Subject grade,A
140051,11 Maths Studies 3,Subject grade 2,A
140051,11 Maths Studies 3,Subject grade 3,A
140051,11 Maths Studies 4,Subject grade,B
140051,11 Maths Studies 4,Subject grade 2,B
140051,11 Maths Studies 4,Subject grade 3,A
140051,11 Music B,Subject grade,A
140051,11 Music B,Subject grade 2,A
140051,11 Music B,Subject grade 3,A
140051,11 Physics,Subject grade,A
140051,11 Physics,Subject grade 2,B
140051,11 Physics,Subject grade 3,A
140052,11 Biology,Subject grade,B
140052,11 Biology,Subject grade 2,C+
140052,11 Biology,Subject grade 3,C+
140052,11 English,Subject grade,C
140052,11 English,Subject grade 2,NA
140052,11 English,Subject grade 3,C
140052,11 History,Subject grade,E
140052,11 History,Subject grade 2,C+
140052,11 History,Subject grade 3,C+
140052,11 Maths Studies 3,Subject grade,C
140052,11 Maths Studies 3,Subject grade 2,B
140052,11 Maths Studies 3,Subject grade 3,C+
140052,11 Maths Studies 4,Subject grade,C-
140052,11 Maths Studies 4,Subject grade 2,D
140052,11 Maths Studies 4,Subject grade 3,C-
140052,11 Physical Education,Subject grade,C
140052,11 Physical Education,Subject grade 2,D
140052,11 Physical Education,Subject grade 3,C
140053,11 English,Subject grade,B
140053,11 English,Subject grade 2,NA
140053,11 English,Subject grade 3,B
140053,11 History,Subject grade,E
140053,11 History,Subject grade 2,C-
140053,11 History,Subject grade 3,C-
140053,11 Info Pro & Pub,Subject grade,B
140053,11 Info Pro & Pub,Subject grade 2,NA
140053,11 Info Pro & Pub,Subject grade 3,B
140053,11 Maths General,Subject grade,B
140053,11 Maths General,Subject grade 2,B
140053,11 Maths General,Subject grade 3,B
140053,11 Physical Education,Subject grade,C
140053,11 Physical Education,Subject grade 2,D
140053,11 Physical Education,Subject grade 3,C
140053,11 Woodwork,Subject grade,A
140053,11 Woodwork,Subject grade 2,NA
140053,11 Woodwork,Subject grade 3,A
140055,11 Art,Subject grade,B
140055,11 Art,Subject grade 2,NA
140055,11 Art,Subject grade 3,B
140055,11 Biology,Subject grade,B
140055,11 Biology,Subject grade 2,C+
140055,11 Biology,Subject grade 3,B
140055,11 English,Subject grade,B
140055,11 English,Subject grade 2,NA
140055,11 English,Subject grade 3,A
140055,11 Hospitality,Subject grade,A
140055,11 Hospitality,Subject grade 2,NA
140055,11 Hospitality,Subject grade 3,A
140055,11 Maths General,Subject grade,B
140055,11 Maths General,Subject grade 2,B
140055,11 Maths General,Subject grade 3,B
140055,11 Nutrition,Subject grade,A
140055,11 Nutrition,Subject grade 2,NA
140055,11 Nutrition,Subject grade 3,A
140056,11 Biology,Subject grade,B
140056,11 Biology,Subject grade 2,C+
140056,11 Biology,Subject grade 3,B
140056,11 Digital Photography,Subject grade,C+
140056,11 Digital Photography,Subject grade 2,NA
140056,11 Digital Photography,Subject grade 3,B
140056,11 English,Subject grade,B
140056,11 English,Subject grade 2,NA
140056,11 English,Subject grade 3,A
140056,11 Geography,Subject grade,B
140056,11 Geography,Subject grade 2,C
140056,11 Geography,Subject grade 3,C
140056,11 History,Subject grade,B
140056,11 History,Subject grade 2,C
140056,11 History,Subject grade 3,A
140056,11 Research Practices,Subject grade,B
140056,11 Research Practices,Subject grade 2,NA
140056,11 Research Practices,Subject grade 3,B
140059,11 Biology,Subject grade,C
